Conventions,G,BADC-CSV,1
title,G,GloboLakes: high-resolution global limnology dataset v1
creator,G,Dr Laura Carrea,"Department of Meteorology, University of Reading"
contributor,G,Poppy Townsend,CEDA
long_name,1,GLWD ID,1
type,1,int
comment,1,GLWD ID is the ID number for the lake/waterbody within the Global Lake Water Database
long_name,2,Name,1
type,2,char
comment,2,Name of the water body
long_name,3,Country,1
type,3,char
comment,3,Name of country where water body is situated
long_name,4,Lat centre,degree
type,4,float
comment,4,Latitude for the centre of the water body
long_name,5,Lon centre,degree
type,5,float
comment,5,Longitude for the centre of the water body
long_name,6,Lat min,degree
type,6,float
comment,6,Minimum latitude for the water body
long_name,7,Lat max,degree
type,7,float
comment,7,Maximum latitude for the water body
long_name,8,Lon min,degree
type,8,float
comment,8,Minimum longitude for the water body
long_name,9,Lon max,degree
type,9,float
comment,9,Maximum longitude for the water body
location_name,G,Rutherford Appleton Lab
location,G,global
date_valid,G,2005-01-01,2010-01-01
last_revised_date,G,2015-07-21
history,G,Version 1
observation_station,G,unknown computer at the University of Reading
feature_type,G,point collection
source,G,data were derived from the ESA CCI Land Cover Map
activity,G,the NERC funded GloboLakes project
data
1,2,3,4,5,6,7,8,9
138, Sayano-Shushenskoye reservoir,Russia,52.6292,91.7347,51.5542,53.0042,91.0431,93.0903
139, represa de Furnas,Brazil,-20.7431,-45.7347,-21.5319,-20.4958,-46.3125,-45.2153
140, Limfjorden,Denmark,56.9625,9.1069,56.4681,57.1069,8.4014,9.9708
141, Baird inlet and Kaghasuk lake,United States,60.7125,-163.6097,60.5708,61.0042,-165.0236,-163.4097
142, Khar-us lake,Mongolia,47.9486,92.1514,47.7819,48.3708,91.9681,92.5514
143, Sherman basin,Canada,67.8042,-97.5264,67.5236,68.0569,-98.4653,-97.0097
144, Zzzz,Finland,69.0486,27.7681,68.7153,69.3625,27.0292,28.6514
145, Becharof lake,United States,57.9736,-156.6208,57.6097,58.0986,-156.8819,-155.9236
146, lake Saint Clair,Canada,42.4125,-82.7181,42.2958,42.6903,-83.0708,-82.3931
147, Lesser Slave lake,Canada,55.4514,-115.0403,55.2931,55.5764,-116.2125,-114.7486
148, Zaliv Gedenshtroma,Russia,75.6264,142.7292,74.9347,75.7708,141.6847,143.6903
149, Eskimo lakes,Canada,69.7569,-130.2069,68.6736,69.8486,-133.5097,-130.2014
150, lake Toba,Indonesia,2.7903,98.6458,2.3208,2.9014,98.5181,99.1514
151, Red (upper & lower) lake,United States,47.9681,-95.0875,47.8708,48.2097,-95.2792,-94.5153
152, Aberdeen lake,Canada,64.4875,-98.7292,64.3625,64.7403,-99.8042,-97.8931
153, laguna de Chapala,Mexico,20.2486,-102.9903,20.1097,20.3347,-103.4208,-102.6903
154, embalse de Guri,Venezuela,7.0847,-62.9125,6.6819,7.8597,-63.3958,-62.5181
155, lac Bienville,Canada,55.1431,-72.5931,54.8292,55.2736,-73.7236,-72.2014
156, lake Eyasi,Tanzania,-3.5736,35.1542,-3.8319,-3.3542,34.7375,35.3486
157, Paijanne,Finland,61.4958,25.3986,61.1736,62.2375,25.1625,25.9597
158, lac Saint Jean,Canada,48.5597,-71.9597,48.4125,48.8875,-72.4736,-71.6431
159, Petit lac Opinaca and lac Low and reservoir Opinaca and lac Mischechun and lac Mistatikamekw and lac Mistamiskwas and lac Menouow and lac Wapakusi and lac Uskawanis,Canada,52.3764,-76.6708,52.1847,52.8375,-76.8708,-75.9347
160, lake Beloye,Russia,60.1819,37.6375,60.0347,60.3264,37.1514,38.0597
161, Salto Grande dam,Argentina,-30.9375,-57.9097,-31.2764,-30.2931,-58.0708,-57.6042
162, Contwoyto lake,Canada,65.4431,-110.2958,65.1486,66.0458,-111.6264,-109.6847
163, Malaren,Sweden,59.4931,16.7625,59.2069,59.6486,16.0486,18.1514
164, Zzzz,Finland,61.9375,29.6764,61.4847,62.0486,28.2375,29.7931
165, lake Champlain,United States,44.4653,-73.3153,43.7042,45.2514,-73.4625,-73.0764
166, Abaya lake,Ethiopia,6.4958,37.9014,5.9792,6.6042,37.6014,38.0569
167, lago O'Higgins/lago San Martin and lago Ciervo and lago Cisnes and lago Gabriel Quiroz and lago Brazo Chacabuco and lago Brazo Maipu and lago Chico,Chile,-49.1292,-72.3542,-49.1847,-48.3375,-73.1458,-72.1986
168, Caniapiscau reservoir,Canada,54.5014,-69.8097,53.5569,54.9792,-70.5542,-68.3458
169, Wholdaia lake and Anaunethaa lake,Canada,60.8069,-104.3125,60.3069,61.0819,-104.7153,-103.5931
170, Selawik lake,United States,66.4764,-160.6569,66.3569,66.6569,-161.2514,-160.2042
171, lago Viedma,Argentina,-49.6958,-72.2014,-49.8042,-49.3931,-73.0375,-71.9708
172, God's lake,Canada,54.7514,-94.1708,54.3764,54.8625,-94.8153,-93.6069
173, Razazza lake,Iraq,32.8208,43.5708,32.5153,33.1014,43.4069,43.8958
174, Island lake,Canada,53.7903,-94.5014,53.6347,54.0681,-95.0792,-93.6903
175, Songkhla lake et al,Thailand,7.6847,100.2319,7.1153,7.8069,100.1236,100.5931
176, lake Managua/lago Xolotlan,Nicaragua,12.3847,-86.3653,12.1569,12.5042,-86.6125,-86.0986
177, lake Imandra et al,Russia,67.5653,32.8792,67.3681,68.0819,31.5681,33.4625
178, Takijuq lake,Canada,66.2375,-113.1514,66.0125,66.5569,-113.6069,-112.7292
179, Zhari Namco,China,30.9403,85.4903,30.7375,31.0819,85.3292,85.8875
180, Manyeke lake et al,Zambia,-15.8069,27.2125,-15.8681,-15.4625,26.8708,27.5042
181, Bosten lake,China,41.9958,86.9653,41.8264,42.1264,86.7292,87.4319
